09/18/2025 05:39:12.341 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after BoardModel (id=2760483864432)
09/18/2025 05:39:12.341 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after MoveListModel (id=2760482256400)
09/18/2025 05:39:12.341 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after MaterialDifferenceModel (id=2760483937856)
09/18/2025 05:39:12.341 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after PremoveModel (id=2760483937088)
09/18/2025 05:39:12.341 | DEBUG | cli-chess | online_game_model.cleanup | Cleared subscription from IncomingEventManager (id=2760483586736)
09/18/2025 05:39:12.341 | DEBUG | cli-chess | ui_common.change_views | View changed to MainView (id=2760481322368)
09/18/2025 05:39:13.009 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.OFFLINE_GAMES
09/18/2025 05:39:13.197 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ABOUT
09/18/2025 05:39:13.830 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.OFFLINE_GAMES
09/18/2025 05:39:14.682 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: MainMenuOptions.ONLINE_GAMES
09/18/2025 05:39:15.507 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: OnlineGamesMenuOptions.CONTINUE_PREVIOUS_GAME
09/18/2025 05:39:15.764 | DEBUG | cli-chess | menu_presenter.select_handler | Menu selection: OnlineGamesMenuOptions.CREATE_GAME
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model.__init__ | BoardModel __init__ - Received FEN: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model._log_init_info | =============== BOARD INITIALIZATION ===============
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model._log_init_info | Variant: chess
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model._log_init_info | Starting FEN: rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model._log_init_info | Orientation: white
09/18/2025 05:39:16.349 | DEBUG | cli-chess | board_model._log_init_info | ====================================================
09/18/2025 05:39:16.351 | DEBUG | cli-chess | game_model_base.__init__ | Created OnlineGameModel (id=2760484649664)
09/18/2025 05:39:16.351 | ERROR | cli-chess | config.get_all_values | Unrecognized key (enable_bsod) found in configuration
09/18/2025 05:39:16.358 | DEBUG | cli-chess | game_view_base.__init__ | Created OnlineGameView (id=2760485377344)
09/18/2025 05:39:16.359 | DEBUG | cli-chess | game_presenter_base.__init__ | Created OnlineGamePresenter (id=2760483482656)
09/18/2025 05:39:16.359 | DEBUG | cli-chess | ui_common.change_views | View changed to OnlineGameView (id=2760485377344)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | game_presenter_base.exit | Exiting game presenter
09/18/2025 05:39:18.710 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after BoardModel (id=2760484648704)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after MoveListModel (id=2760484641936)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after MaterialDifferenceModel (id=2760483723712)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | game_model_base.cleanup | Finished cleaning up after PremoveModel (id=2760483238672)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | online_game_model.cleanup | Cleared subscription from IncomingEventManager (id=2760483586736)
09/18/2025 05:39:18.710 | DEBUG | cli-chess | ui_common.change_views | View changed to MainView (id=2760481322368)
